id,name,discount_days,early_discount,discount_percentage,display_on_invoice,early_pay_discount_computation,postulation_type_id/id,ref_nena,line_ids/id,line_ids/nb_days,line_ids/value_amount
inmediato,Pago Inmediato,1,False,0.00,False,excluded,nena_general_parameter.cliente,61,term_1,0,100
3_dias,3 días de Crédito con 17.00% de Descuento PP,3,True,17.00,False,excluded,nena_general_parameter.cliente,88,term_2,3,100
7_dias,7 días de Crédito sin Descuento,1,False,0.00,False,excluded,nena_general_parameter.cliente,96,term_3,7,100
10_dias,10 días de Crédito sin Descuento,1,False,0.00,False,excluded,nena_general_parameter.cliente,3,term_4,10,100
14_dias,14 días de Crédito sin Descuento,1,False,0.00,False,excluded,nena_general_parameter.cliente,IF,term_5,14,100
21_dias,21 días de Crédito sin Descuento,1,False,0.00,False,excluded,nena_general_parameter.cliente,QQ,term_6,21,100
30_dias,30 días de Crédito sin Descuento,1,False,0.00,False,excluded,nena_general_parameter.cliente,99,term_7,30,100
0003,0003 - 14 días 3%; 20 días 2%; 30 días 0%,1,False,0.00,False,excluded,nena_general_parameter.proveedor,0003,term_8,30,100
Z001,Z001 - Pronto Pago del 4.5000% a 10 dias,10,True,4.50,False,excluded,nena_general_parameter.proveedor,Z001,term_9,10,100
Z002,Z002 - Pronto Pago del 4.0000% a 10 dias,10,True,4.00,False,excluded,nena_general_parameter.proveedor,Z002,term_10,10,100
Z003,Z003 - Pronto Pago del 5.0000% a 10 dias,10,True,5.00,False,excluded,nena_general_parameter.proveedor,Z003,term_11,10,100
Z004,Z004 - Pronto Pago a 30 dias,1,False,0.00,False,excluded,nena_general_parameter.proveedor,Z004,term_12,30,100
Z005,Z005 - Pronto Pago del 4.0000% a 14 dias,14,True,4.00,False,excluded,nena_general_parameter.proveedor,Z005,term_13,14,100
Z006,Z006 - Pronto Pago del 2.0000% a 15 dias,15,True,2.00,False,excluded,nena_general_parameter.proveedor,Z006,term_14,15,100
Z007,Z007 - Pronto Pago del 2.5000% a 15 dias,15,True,2.50,False,excluded,nena_general_parameter.proveedor,Z007,term_15,15,100
Z008,Z008 - Pronto Pago del 4.0000% a 15 dias,15,True,4.00,False,excluded,nena_general_parameter.proveedor,Z008,term_16,15,100
Z009,Z009 - Pronto Pago del 5.0000% a 15 dias,15,True,5.00,False,excluded,nena_general_parameter.proveedor,Z009,term_17,15,100
Z010,Z010 - Pronto Pago del 0.0000% a 8 dias,1,False,0.00,False,excluded,nena_general_parameter.proveedor,Z010,term_18,8,100
Z011,Z011 - Pronto Pago del 0.0000% a 15 dias,1,False,0.00,False,excluded,nena_general_parameter.proveedor,Z011,term_19,15,100
Z012,Z012 - Pronto Pago del 3.0000% a 30 dias,30,True,3.00,False,excluded,nena_general_parameter.proveedor,Z012,term_20,30,100
Z013,Z013 - Pronto Pago del 2.0000% a 30 dias,30,True,2.00,False,excluded,nena_general_parameter.proveedor,Z013,term_21,30,100
Z014,Z014 - Pronto Pago del 10.0000% a 20 dias,20,True,10.00,False,excluded,nena_general_parameter.proveedor,Z014,term_22,20,100
Z015,Z015 - Pronto pago del 8.0000% a 45 días,45,True,8.00,False,excluded,nena_general_parameter.proveedor,Z015,term_23,45,100
Z016,Z016 - Pronto pago del 4.0000% a 25 días,25,True,4.00,False,excluded,nena_general_parameter.proveedor,Z016,term_24,25,100
Z017,Z017 - Pronto Pago del 7.0000% a 20 dias,20,True,7.00,False,excluded,nena_general_parameter.proveedor,Z017,term_25,20,100
Z018,Z018 - Pronto Pago del 5.0000% a 7 dias,7,True,5.00,False,excluded,nena_general_parameter.proveedor,Z018,term_26,7,100
Z019,Z019 - Pronto pago del 5% a 5 días,5,True,5.00,False,excluded,nena_general_parameter.proveedor,Z019,term_27,5,100
Z020,Z020 - Pronto Pago del 3.0000% a 21 dias,21,True,3.00,False,excluded,nena_general_parameter.proveedor,Z020,term_28,21,100
Z021,Z021 - Pronto Pago del 7.0000% a 15 dias,15,True,7.00,False,excluded,nena_general_parameter.proveedor,Z021,term_29,15,100
Z022,Z022 - Pronto Pago del 8.0000% a 15 dias,15,True,8.00,False,excluded,nena_general_parameter.proveedor,Z022,term_30,15,100
Z023,Z023 - Pronto Pago del 3.0000% a 20 dias,20,True,3.00,False,excluded,nena_general_parameter.proveedor,Z023,term_31,20,100
Z024,Z024 - Pronto Pago del 4.0000% a 20 dias,20,True,4.00,False,excluded,nena_general_parameter.proveedor,Z024,term_32,20,100
Z025,Z025 - Pronto Pago del 5.0000% a 20 dias,20,True,5.00,False,excluded,nena_general_parameter.proveedor,Z025,term_33,20,100
Z026,Z026 - Pronto pago del 4.5000% a 24 días,24,True,4.50,False,excluded,nena_general_parameter.proveedor,Z026,term_34,24,100
Z027,Z027 - Pronto Pago del 8.0000% a 20 dias,20,True,8.00,False,excluded,nena_general_parameter.proveedor,Z027,term_35,20,100
Z028,Z028 - Pronto pago del 5.0000% a 75 días,75,True,5.00,False,excluded,nena_general_parameter.proveedor,Z028,term_36,75,100
Z029,Z029 - Pronto Pago del 5.0000% a 21 dias,21,True,5.00,False,excluded,nena_general_parameter.proveedor,Z029,term_37,21,100
Z030,Z030 - Pronto Pago del 2.0000% a 25 dias,25,True,2.00,False,excluded,nena_general_parameter.proveedor,Z030,term_38,25,100
Z031,Z031 - Pronto Pago 30 dias 0%; 20 dias 5%,20,True,5.00,False,excluded,nena_general_parameter.proveedor,Z031,term_39,20,100
Z032,Z032 - Pronto Pago del 3.5000% a 30 dias,30,True,3.50,False,excluded,nena_general_parameter.proveedor,Z032,term_40,30,100
Z033,Z033 - Pronto Pago del 4.0000% a 30 dias,30,True,4.00,False,excluded,nena_general_parameter.proveedor,Z033,term_41,30,100
Z034,Z034 - Pronto Pago del 4.5000% a 30 dias,30,True,4.50,False,excluded,nena_general_parameter.proveedor,Z034,term_42,30,100
Z035,Z035 - Pronto Pago del 4.9000% a 30 dias,30,True,4.90,False,excluded,nena_general_parameter.proveedor,Z035,term_43,30,100
Z036,Z036 - Pronto Pago del 5.0000% a 30 dias,30,True,5.00,False,excluded,nena_general_parameter.proveedor,Z036,term_44,30,100
Z037,Z037 - Pronto Pago del 6.0000% a 30 dias,30,True,6.00,False,excluded,nena_general_parameter.proveedor,Z037,term_45,30,100
Z038,Z038 - Pronto Pago del 7.0000% a 30 dias,30,True,7.00,False,excluded,nena_general_parameter.proveedor,Z038,term_46,30,100
Z039,Z039 - Pronto Pago del 8.0000% a 30 dias,30,True,8.00,False,excluded,nena_general_parameter.proveedor,Z039,term_47,30,100
Z040,Z040 - Pronto Pago del 10.0000% a 30 dias,30,True,10.00,False,excluded,nena_general_parameter.proveedor,Z040,term_48,30,100
Z041,Z041 - Pronto Pago del 13.0000% a 30 dias,30,True,13.00,False,excluded,nena_general_parameter.proveedor,Z041,term_49,30,100
Z042,Z042 - Pronto Pago del 14.0000% a 30 dias,30,True,14.00,False,excluded,nena_general_parameter.proveedor,Z042,term_50,30,100
Z043,Z043 - Pronto Pago del 4.0000% a 35 dias,35,True,4.00,False,excluded,nena_general_parameter.proveedor,Z043,term_51,35,100
Z044,Z044 - Pronto Pago del 5.0000% a 35 dias,35,True,5.00,False,excluded,nena_general_parameter.proveedor,Z044,term_52,35,100
Z045,Z045 - Pronto Pago del 8.0000% a 35 dias,35,True,8.00,False,excluded,nena_general_parameter.proveedor,Z045,term_53,35,100
Z046,Z046 - Pronto Pago del 4.0000% a 40 dias,40,True,4.00,False,excluded,nena_general_parameter.proveedor,Z046,term_54,40,100
Z047,Z047 - Pronto Pago del 4.5000% a 40 dias,40,True,4.50,False,excluded,nena_general_parameter.proveedor,Z047,term_55,40,100
Z048,Z048 - Pronto Pago del 4.9000% a 40 dias,40,True,4.90,False,excluded,nena_general_parameter.proveedor,Z048,term_56,40,100
Z049,Z049 - Pronto Pago del 5.0000% a 40 dias,40,True,5.00,False,excluded,nena_general_parameter.proveedor,Z049,term_57,40,100
Z050,Z050 - Pronto Pago del 8.0000% a 40 dias,40,True,8.00,False,excluded,nena_general_parameter.proveedor,Z050,term_58,40,100
Z051,Z051 - Pronto Pago del 10.0000% a 40 dias,40,True,10.00,False,excluded,nena_general_parameter.proveedor,Z051,term_59,40,100
Z052,Z052 - Pronto Pago del 0.0000% a 45 dias,1,False,0.00,False,excluded,nena_general_parameter.proveedor,Z052,term_60,45,100
Z053,Z053 - Pronto Pago del 4.0000% a 45 dias,45,True,4.00,False,excluded,nena_general_parameter.proveedor,Z053,term_61,45,100
Z054,Z054 - Pronto Pago del 5.0000% a 45 dias,45,True,5.00,False,excluded,nena_general_parameter.proveedor,Z054,term_62,45,100
Z055,Z055 - Pronto Pago del 6.0000% a 45 dias,45,True,6.00,False,excluded,nena_general_parameter.proveedor,Z055,term_63,45,100
Z056,Z056 - Pronto Pago del 7.0000% a 45 dias,45,True,7.00,False,excluded,nena_general_parameter.proveedor,Z056,term_64,45,100
