id,name,discount_days,early_discount,discount_percentage,display_on_invoice,early_pay_discount_computation,postulation_type_id:id,ref
term_1,Pago Inmediato,1,False,0.00,False,excluded,postulation_type_2,61
term_2,3 días de Crédito con 17.00% de Descuento PP,3,True,17.00,False,excluded,postulation_type_2,88
term_3,7 días de Crédito sin Descuento,1,False,0.00,False,excluded,postulation_type_2,96
term_4,10 días de Crédito sin Descuento,1,False,0.00,False,excluded,postulation_type_2,3
term_5,14 días de Crédito sin Descuento,1,False,0.00,False,excluded,postulation_type_2,IF
term_6,21 días de Crédito sin Descuento,1,False,0.00,False,excluded,postulation_type_2,QQ
term_7,30 días de Crédito sin Descuento,1,False,0.00,False,excluded,postulation_type_2,99
term_8,0003 - 14 días 3%; 20 días 2%; 30 días 0%,1,False,0.00,False,excluded,postulation_type_1,0003
term_9,Z001 - Pronto Pago del 4.5000% a 10 dias,10,True,4.50,False,excluded,postulation_type_1,Z001
term_10,Z002 - Pronto Pago del 4.0000% a 10 dias,10,True,4.00,False,excluded,postulation_type_1,Z002
term_11,Z003 - Pronto Pago del 5.0000% a 10 dias,10,True,5.00,False,excluded,postulation_type_1,Z003
term_12,Z004 - Pronto Pago a 30 dias,1,False,0.00,False,excluded,postulation_type_1,Z004
term_13,Z005 - Pronto Pago del 4.0000% a 14 dias,14,True,4.00,False,excluded,postulation_type_1,Z005
term_14,Z006 - Pronto Pago del 2.0000% a 15 dias,15,True,2.00,False,excluded,postulation_type_1,Z006
term_15,Z007 - Pronto Pago del 2.5000% a 15 dias,15,True,2.50,False,excluded,postulation_type_1,Z007
term_16,Z008 - Pronto Pago del 4.0000% a 15 dias,15,True,4.00,False,excluded,postulation_type_1,Z008
term_17,Z009 - Pronto Pago del 5.0000% a 15 dias,15,True,5.00,False,excluded,postulation_type_1,Z009
term_18,Z010 - Pronto Pago del 0.0000% a 8 dias,1,False,0.00,False,excluded,postulation_type_1,Z010
term_19,Z011 - Pronto Pago del 0.0000% a 15 dias,1,False,0.00,False,excluded,postulation_type_1,Z011
term_20,Z012 - Pronto Pago del 3.0000% a 30 dias,30,True,3.00,False,excluded,postulation_type_1,Z012
term_21,Z013 - Pronto Pago del 2.0000% a 30 dias,30,True,2.00,False,excluded,postulation_type_1,Z013
term_22,Z014 - Pronto Pago del 10.0000% a 20 dias,20,True,10.00,False,excluded,postulation_type_1,Z014
term_23,Z015 - Pronto pago del 8.0000% a 45 días,45,True,8.00,False,excluded,postulation_type_1,Z015
term_24,Z016 - Pronto pago del 4.0000% a 25 días,25,True,4.00,False,excluded,postulation_type_1,Z016
term_25,Z017 - Pronto Pago del 7.0000% a 20 dias,20,True,7.00,False,excluded,postulation_type_1,Z017
term_26,Z018 - Pronto Pago del 5.0000% a 7 dias,7,True,5.00,False,excluded,postulation_type_1,Z018
term_27,Z019 - Pronto pago del 5% a 5 Días,5,True,5.00,False,excluded,postulation_type_1,Z019
term_28,Z020 - Pronto Pago del 3.0000% a 21 dias,21,True,3.00,False,excluded,postulation_type_1,Z020
term_29,Z021 - Pronto Pago del 7.0000% a 15 dias,15,True,7.00,False,excluded,postulation_type_1,Z021
term_30,Z022 - Pronto Pago del 8.0000% a 15 dias,15,True,8.00,False,excluded,postulation_type_1,Z022
term_31,Z023 - Pronto Pago del 3.0000% a 20 dias,20,True,3.00,False,excluded,postulation_type_1,Z023
term_32,Z024 - Pronto Pago del 4.0000% a 20 dias,20,True,4.00,False,excluded,postulation_type_1,Z024
term_33,Z025 - Pronto Pago del 5.0000% a 20 dias,20,True,5.00,False,excluded,postulation_type_1,Z025
term_34,Z026 - Pronto pago del 4.5000% a 24 días,24,True,4.50,False,excluded,postulation_type_1,Z026
term_35,Z027 - Pronto Pago del 8.0000% a 20 dias,20,True,8.00,False,excluded,postulation_type_1,Z027
term_36,Z028 - Pronto pago del 5.0000% a 75 días,75,True,5.00,False,excluded,postulation_type_1,Z028
term_37,Z029 - Pronto Pago del 5.0000% a 21 dias,21,True,5.00,False,excluded,postulation_type_1,Z029
term_38,Z030 - Pronto Pago del 2.0000% a 25 dias,25,True,2.00,False,excluded,postulation_type_1,Z030
term_39,Z031 - Pronto Pago 30 dias 0%; 20 dias 5%,20,True,5.00,False,excluded,postulation_type_1,Z031
term_40,Z032 - Pronto Pago del 3.5000% a 30 dias,30,True,3.50,False,excluded,postulation_type_1,Z032
term_41,Z033 - Pronto Pago del 4.0000% a 30 dias,30,True,4.00,False,excluded,postulation_type_1,Z033
term_42,Z034 - Pronto Pago del 4.5000% a 30 dias,30,True,4.50,False,excluded,postulation_type_1,Z034
term_43,Z035 - Pronto Pago del 4.9000% a 30 dias,30,True,4.90,False,excluded,postulation_type_1,Z035
term_44,Z036 - Pronto Pago del 5.0000% a 30 dias,30,True,5.00,False,excluded,postulation_type_1,Z036
term_45,Z037 - Pronto Pago del 6.0000% a 30 dias,30,True,6.00,False,excluded,postulation_type_1,Z037
term_46,Z038 - Pronto Pago del 7.0000% a 30 dias,30,True,7.00,False,excluded,postulation_type_1,Z038
term_47,Z039 - Pronto Pago del 8.0000% a 30 dias,30,True,8.00,False,excluded,postulation_type_1,Z039
term_48,Z040 - Pronto Pago del 10.0000% a 30 dias,30,True,10.00,False,excluded,postulation_type_1,Z040
term_49,Z041 - Pronto Pago del 13.0000% a 30 dias,30,True,13.00,False,excluded,postulation_type_1,Z041
term_50,Z042 - Pronto Pago del 14.0000% a 30 dias,30,True,14.00,False,excluded,postulation_type_1,Z042
term_51,Z043 - Pronto Pago del 4.0000% a 35 dias,35,True,4.00,False,excluded,postulation_type_1,Z043
term_52,Z044 - Pronto Pago del 5.0000% a 35 dias,35,True,5.00,False,excluded,postulation_type_1,Z044
term_53,Z045 - Pronto Pago del 8.0000% a 35 dias,35,True,8.00,False,excluded,postulation_type_1,Z045
term_54,Z046 - Pronto Pago del 4.0000% a 40 dias,40,True,4.00,False,excluded,postulation_type_1,Z046
term_55,Z047 - Pronto Pago del 4.5000% a 40 dias,40,True,4.50,False,excluded,postulation_type_1,Z047
term_56,Z048 - Pronto Pago del 4.9000% a 40 dias,40,True,4.90,False,excluded,postulation_type_1,Z048
term_57,Z049 - Pronto Pago del 5.0000% a 40 dias,40,True,5.00,False,excluded,postulation_type_1,Z049
term_58,Z050 - Pronto Pago del 8.0000% a 40 dias,40,True,8.00,False,excluded,postulation_type_1,Z050
term_59,Z051 - Pronto Pago del 10.0000% a 40 dias,40,True,10.00,False,excluded,postulation_type_1,Z051
term_60,Z052 - Pronto Pago del 0.0000% a 45 dias,1,False,0.00,False,excluded,postulation_type_1,Z052
term_61,Z053 - Pronto Pago del 4.0000% a 45 dias,45,True,4.00,False,excluded,postulation_type_1,Z053
term_62,Z054 - Pronto Pago del 5.0000% a 45 dias,45,True,5.00,False,excluded,postulation_type_1,Z054
term_63,Z055 - Pronto Pago del 6.0000% a 45 dias,45,True,6.00,False,excluded,postulation_type_1,Z055
term_64,Z056 - Pronto Pago del 7.0000% a 45 dias,45,True,7.00,False,excluded,postulation_type_1,Z056
term_65,Z057 - Pronto Pago del 10.0000% a 45 dias,45,True,10.00,False,excluded,postulation_type_1,Z057
term_66,Z058 - Pronto Pago del 4.0000% a 50 dias,50,True,4.00,False,excluded,postulation_type_1,Z058
term_67,Z059 - Pronto Pago del 5.0000% a 50 dias,50,True,5.00,False,excluded,postulation_type_1,Z059
term_68,Z060 - Pronto Pago del 8.0000% a 50 dias,50,True,8.00,False,excluded,postulation_type_1,Z060
term_69,Z061 - Pronto Pago del 0.0000% a 60 dias,1,False,0.00,False,excluded,postulation_type_1,Z061
term_70,Z062 - Pronto Pago del 2.0000% a 60 dias,60,True,2.00,False,excluded,postulation_type_1,Z062
term_71,Z063 - Pronto Pago del 3.0000% a 60 dias,60,True,3.00,False,excluded,postulation_type_1,Z063
term_72,Z064 - Pronto Pago del 4.0000% a 60 dias,60,True,4.00,False,excluded,postulation_type_1,Z064
term_73,Z065 - Pronto Pago del 4.5000% a 60 dias,60,True,4.50,False,excluded,postulation_type_1,Z065
term_74,Z066 - Pronto Pago del 5.0000% a 60 dias,60,True,5.00,False,excluded,postulation_type_1,Z066
