id,nb_days,value_amount,payment_id:id
term_line_1,0,100,term_1
term_line_2,3,100,term_2
term_line_3,7,100,term_3
term_line_4,10,100,term_4
term_line_5,14,100,term_5
term_line_6,21,100,term_6
term_line_7,30,100,term_7
term_line_8,30,100,term_8
term_line_9,10,100,term_9
term_line_10,10,100,term_10
term_line_11,10,100,term_11
term_line_12,30,100,term_12
term_line_13,14,100,term_13
term_line_14,15,100,term_14
term_line_15,15,100,term_15
term_line_16,15,100,term_16
term_line_17,15,100,term_17
term_line_18,8,100,term_18
term_line_19,15,100,term_19
term_line_20,30,100,term_20
term_line_21,30,100,term_21
term_line_22,20,100,term_22
term_line_23,45,100,term_23
term_line_24,25,100,term_24
term_line_25,20,100,term_25
term_line_26,7,100,term_26
term_line_27,5,100,term_27
term_line_28,21,100,term_28
term_line_29,15,100,term_29
term_line_30,15,100,term_30
term_line_31,20,100,term_31
term_line_32,20,100,term_32
term_line_33,20,100,term_33
term_line_34,24,100,term_34
term_line_35,20,100,term_35
term_line_36,75,100,term_36
term_line_37,21,100,term_37
term_line_38,25,100,term_38
term_line_39,20,100,term_39
term_line_40,30,100,term_40
term_line_41,30,100,term_41
term_line_42,30,100,term_42
term_line_43,30,100,term_43
term_line_44,30,100,term_44
term_line_45,30,100,term_45
term_line_46,30,100,term_46
term_line_47,30,100,term_47
term_line_48,30,100,term_48
term_line_49,30,100,term_49
term_line_50,30,100,term_50
term_line_51,35,100,term_51
term_line_52,35,100,term_52
term_line_53,35,100,term_53
term_line_54,40,100,term_54
term_line_55,40,100,term_55
term_line_56,40,100,term_56
term_line_57,40,100,term_57
term_line_58,40,100,term_58
term_line_59,40,100,term_59
term_line_60,45,100,term_60
term_line_61,45,100,term_61
term_line_62,45,100,term_62
term_line_63,45,100,term_63
term_line_64,45,100,term_64
term_line_65,45,100,term_65
term_line_66,50,100,term_66
term_line_67,50,100,term_67
term_line_68,50,100,term_68
term_line_69,60,100,term_69
term_line_70,60,100,term_70
term_line_71,60,100,term_71
term_line_72,60,100,term_72
term_line_73,60,100,term_73
term_line_74,60,100,term_74
term_line_75,60,100,term_75
term_line_76,60,100,term_76
term_line_77,70,100,term_77
term_line_78,70,100,term_78
term_line_79,90,100,term_79
term_line_80,90,100,term_80
term_line_81,90,100,term_81
term_line_82,10,100,term_82
term_line_83,30,100,term_83
term_line_84,10,100,term_84
term_line_85,15,100,term_85
term_line_86,30,100,term_86
term_line_87,40,100,term_87
term_line_88,20,100,term_88
term_line_89,25,100,term_89
term_line_90,60,100,term_90
term_line_91,90,100,term_91
term_line_92,7,100,term_92
term_line_93,60,100,term_93
term_line_94,21,100,term_94
term_line_95,21,100,term_95
term_line_96,45,100,term_96
term_line_97,120,100,term_97
term_line_98,90,100,term_98
term_line_99,60,100,term_99
term_line_100,15,100,term_100
term_line_101,5,100,term_101
term_line_102,10,100,term_102
term_line_103,20,100,term_103
term_line_104,45,100,term_104
term_line_105,3,100,term_105
term_line_106,90,100,term_106
term_line_107,14,100,term_107
term_line_108,45,100,term_108
term_line_109,45,100,term_109
term_line_110,40,100,term_110
term_line_111,60,100,term_111
term_line_112,90,100,term_112
term_line_113,50,100,term_113
term_line_114,60,100,term_114
term_line_115,60,100,term_115
term_line_116,65,100,term_116
term_line_117,30,100,term_117
term_line_118,30,100,term_118
term_line_119,35,100,term_119
term_line_120,40,100,term_120
term_line_121,45,100,term_121
term_line_122,50,100,term_122
term_line_123,14,100,term_123
term_line_124,50,100,term_124
term_line_125,60,100,term_125
term_line_126,10,100,term_126
term_line_127,14,100,term_127
term_line_128,14,100,term_128
term_line_129,40,100,term_129
term_line_130,45,100,term_130
term_line_131,45,100,term_131
term_line_132,60,100,term_132
term_line_133,25,100,term_133
term_line_134,25,100,term_134
term_line_135,70,100,term_135
term_line_136,55,100,term_136
term_line_137,7,100,term_137
term_line_138,55,100,term_138
term_line_139,90,100,term_139
term_line_140,120,100,term_140
