id,code,description,amount_from,amount_until,gen_category_id:id,ref,active
client_clasification_1,1,AMARILLO,1,1500,gen_category_3,0,True
client_clasification_2,2,VERDE,1501,3000,gen_category_3,1,True
client_clasification_3,3,AZUL,3001,5000,gen_category_3,2,True
client_clasification_4,4,VINOTINTO,5001,10000,gen_category_3,3,True
client_clasification_5,5,PLATINUM,10001,10000000000,gen_category_3,4,True
client_clasification_6,6,Aliados,99999999999,99999999999,gen_category_3,5,True
client_clasification_7,7,AMARILLO,1,99999,gen_category_4,6,True
client_clasification_8,8,VERDE,100000,199999,gen_category_4,7,True
client_clasification_9,9,AZUL,200000,399999,gen_category_4,8,True
client_clasification_10,10,VINOTINTO,400000,599999,gen_category_4,9,True
client_clasification_11,11,PLATINUM,600000,99999999999,gen_category_4,10,True
