id,code,description,amount_from,amount_until,gen_management_id:id,ref,active
customer_clasification_1,1,AMARILLO,1,1500,gen_management_3,0,True
customer_clasification_2,2,VERDE,1501,3000,gen_management_3,1,True
customer_clasification_3,3,AZUL,3001,5000,gen_management_3,2,True
customer_clasification_4,4,VINOTINTO,5001,10000,gen_management_3,3,True
customer_clasification_5,5,PLATINUM,10001,10000000000,gen_management_3,4,True
customer_clasification_6,6,Aliados,99999999999,99999999999,gen_management_3,5,True
customer_clasification_7,7,AMARILLO,1,99999,gen_management_4,6,True
customer_clasification_8,8,VERDE,100000,199999,gen_management_4,7,True
customer_clasification_9,9,AZUL,200000,399999,gen_management_4,8,True
customer_clasification_10,10,VINOTINTO,400000,599999,gen_management_4,9,True
customer_clasification_11,11,PLATINUM,600000,99999999999,gen_management_4,10,True
