id,description,gen_category_id:id
gen_status_1,ACTIVO,nena_gen_category_2
gen_status_2,INACTIVO,nena_gen_category_2
gen_status_3,NUEVO,nena_gen_category_2
gen_status_4,PERMISO,nena_gen_category_2
gen_status_5,SUSPENDIDO,nena_gen_category_2
gen_status_6,BLOQUEADO,nena_gen_category_2
gen_status_7,DPTO. LEGAL,nena_gen_category_2
gen_status_8,SOLICITUD CREADA,nena_gen_category_1
gen_status_9,SOLICITUD REVISADA COMPRAS,nena_gen_category_1
gen_status_10,SOLICITUD ANULADA,nena_gen_category_1
gen_status_11,SOLICITUD COMITE,nena_gen_category_1
gen_status_12,SOLICITUD GUARDADA PROV,nena_gen_category_1
gen_status_13,SOLICITUD COMPLETADA PROV,nena_gen_category_1
gen_status_14,SOLICITUD APROBADA,nena_gen_category_1
gen_status_15,SOLICITUD RECHAZADA,nena_gen_category_1
