id,name,is_due_date,is_multiple_file
rif,Registro de Información Fiscal (RIF),1,0
registro_mer,Registro Mercantil,1,1
acta_constitutiva,Acta Constitutiva
cedula,Cédula de Identidad del Representante Legal,0,0
permiso_fun,Permiso de Funcionamiento de Establecimiento Farmacéutico,1,1
cedula_rege,Cédula de Identidad del Regente,0,0
titulo_rege,Título del Regente,0,0
registro_fot,Registro Fotográfico del Establecimiento,0,1
gps,Validar Coordenadas GPS,0,0
condicion_cre,Condiciones Crediticias,0,0
formato_aper,Formato Solicitud de Apertura de Clientes,0,0
sada,Código SICA (SADA),0,0
permiso_sani,Permiso de Conformidad Sanitaria de Ocupación,0,0
