id,code,name,category,cause_active,model_id:id,field_id:id
exp_solicitud,EXP-01,Solicitud,EXPEDIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_record_id
exp_aprobar,EXP-02,En Aprobación,EXPEDIENTE,False,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_record_id
exp_rechazar,EXP-03,Rechazado,EXPEDIENTE,False,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_record_id
exp_publicado,EXP-04,Publicado,EXPEDIENTE,False,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_record_id
prv_nuevo,PRV-01,Nuevo,PROVEEDOR,False,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
prv_activo,PRV-02,Activo,PROVEEDOR,False,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
prv_inactivo,PRV-03,Inactivo,PROVEEDOR,False,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_nuevo,CLI-01,Nuevo,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_activo,CLI-02,Activo,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_inactivo,CLI-03,Inactivo,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_permiso,CLI-04,Permiso,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_suspendido,CLI-05,Suspendido,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_bloqueado,CLI-06,Bloqueado,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cli_dpto_legal,CLI-07,Dpto. Legal,CLIENTE,True,nena_partner_record.model_nena_record,nena_partner_record.field_nena_record__status_id
cad_activo,CAD-01,Activo,CADENA,True,nena_partner_record.model_nena_chain,nena_partner_record.field_nena_chain__status_id
cad_inactivo,CAD-02,Inactivo,CADENA,True,nena_partner_record.model_nena_chain,nena_partner_record.field_nena_chain__status_id
cad_permiso,CAD-03,Permiso,CADENA,True,nena_partner_record.model_nena_chain,nena_partner_record.field_nena_chain__status_id
cad_suspendido,CAD-04,Suspendido,CADENA,True,nena_partner_record.model_nena_chain,nena_partner_record.field_nena_chain__status_id
