id,name,discount_days,discount_percentage,display_on_invoice,early_discount,early_pay_discount_computation,ref
term_1,Z001 - Pronto Pago del 4.5000% a 10 dias,10,4.5000,False,True,excluded,Z001
term_2,Z002 - Pronto Pago del 4.0000% a 10 dias,10,4.0000,False,True,excluded,Z002
term_3,Z003 - Pronto Pago del 5.0000% a 10 dias,10,5.0000,False,True,excluded,Z003
term_4,Z004 - Pronto Pago a 30 dias,30,0.0000,False,False,excluded,Z004
term_5,Z005 - Pronto Pago del 4.0000% a 14 dias,14,4.0000,False,True,excluded,Z005
term_6,Z006 - Pronto Pago del 2.0000% a 15 dias,15,2.0000,False,True,excluded,Z006
term_7,Z007 - Pronto Pago del 2.5000% a 15 dias,15,2.5000,False,True,excluded,Z007
term_8,Z008 - Pronto Pago del 4.0000% a 15 dias,15,4.0000,False,True,excluded,Z008
term_9,Z009 - Pronto Pago del 5.0000% a 15 dias,15,5.0000,False,True,excluded,Z009
term_10,Z010 - Pronto Pago del 0.0000% a 8 dias,8,0.0000,False,False,excluded,Z010
term_11,Z011 - Pronto Pago del 0.0000% a 15 dias,15,0.0000,False,False,excluded,Z011
term_12,Z012 - Pronto Pago del 3.0000% a 30 dias,30,3.0000,False,True,excluded,Z012
term_13,Z013 - Pronto Pago del 2.0000% a 30 dias,30,2.0000,False,True,excluded,Z013
term_14,Z014 - Pronto Pago del 10.0000% a 20 dias,20,10.0000,False,True,excluded,Z014
term_15,Z015 - Pronto pago del 8.0000% a 45 dias,45,8.0000,False,True,excluded,Z015
term_16,Z016 - Pronto pago del 4.0000% a 25 dias,25,4.0000,False,True,excluded,Z016
term_17,Z017 - Pronto Pago del 7.0000% a 20 dias,20,7.0000,False,True,excluded,Z017
term_18,Z018 - Pronto Pago del 5.0000% a 7 dias,7,5.0000,False,True,excluded,Z018
term_19,Z019 - Pronto pago del 5% a 5 dias,5,5.0000,False,True,excluded,Z019
term_20,Z020 - Pronto Pago del 3.0000% a 21 dias,21,3.0000,False,True,excluded,Z020
term_21,Z021 - Pronto Pago del 7.0000% a 15 dias,15,7.0000,False,True,excluded,Z021
term_22,Z022 - Pronto Pago del 8.0000% a 15 dias,15,8.0000,False,True,excluded,Z022
term_23,Z023 - Pronto Pago del 3.0000% a 20 dias,20,3.0000,False,True,excluded,Z023
term_24,Z024 - Pronto Pago del 4.0000% a 20 dias,20,4.0000,False,True,excluded,Z024
term_25,Z025 - Pronto Pago del 5.0000% a 20 dias,20,5.0000,False,True,excluded,Z025
term_26,Z026 - Pronto pago del 4.5000% a 24 dias,24,4.5000,False,True,excluded,Z026
term_27,Z027 - Pronto Pago del 8.0000% a 20 dias,20,8.0000,False,True,excluded,Z027
term_28,Z028 - Pronto pago del 5.0000% a 75 dias,75,5.0000,False,True,excluded,Z028
term_29,Z029 - Pronto Pago del 5.0000% a 21 dias,21,5.0000,False,True,excluded,Z029
term_30,Z030 - Pronto Pago del 2.0000% a 25 dias,25,2.0000,False,True,excluded,Z030
term_31,Z032 - Pronto Pago del 3.5000% a 30 dias,30,3.5000,False,True,excluded,Z032
term_32,Z033 - Pronto Pago del 4.0000% a 30 dias,30,4.0000,False,True,excluded,Z033
term_33,Z034 - Pronto Pago del 4.5000% a 30 dias,30,4.5000,False,True,excluded,Z034
term_34,Z035 - Pronto Pago del 4.9000% a 30 dias,30,4.9000,False,True,excluded,Z035
term_35,Z036 - Pronto Pago del 5.0000% a 30 dias,30,5.0000,False,True,excluded,Z036
term_36,Z037 - Pronto Pago del 6.0000% a 30 dias,30,6.0000,False,True,excluded,Z037
term_37,Z038 - Pronto Pago del 7.0000% a 30 dias,30,7.0000,False,True,excluded,Z038
term_38,Z039 - Pronto Pago del 8.0000% a 30 dias,30,8.0000,False,True,excluded,Z039
term_39,Z040 - Pronto Pago del 10.0000% a 30 dias,30,10.0000,False,True,excluded,Z040
term_40,Z041 - Pronto Pago del 13.0000% a 30 dias,30,13.0000,False,True,excluded,Z041
term_41,Z042 - Pronto Pago del 14.0000% a 30 dias,30,14.0000,False,True,excluded,Z042
term_42,Z043 - Pronto Pago del 4.0000% a 35 dias,35,4.0000,False,True,excluded,Z043
term_43,Z044 - Pronto Pago del 5.0000% a 35 dias,35,5.0000,False,True,excluded,Z044
term_44,Z045 - Pronto Pago del 8.0000% a 35 dias,35,8.0000,False,True,excluded,Z045
term_45,Z046 - Pronto Pago del 4.0000% a 40 dias,40,4.0000,False,True,excluded,Z046
term_46,Z047 - Pronto Pago del 4.5000% a 40 dias,40,4.5000,False,True,excluded,Z047
term_47,Z048 - Pronto Pago del 4.9000% a 40 dias,40,4.9000,False,True,excluded,Z048
term_48,Z049 - Pronto Pago del 5.0000% a 40 dias,40,5.0000,False,True,excluded,Z049
term_49,Z050 - Pronto Pago del 8.0000% a 40 dias,40,8.0000,False,True,excluded,Z050
term_50,Z051 - Pronto Pago del 10.0000% a 40 dias,40,10.0000,False,True,excluded,Z051
term_51,Z052 - Pronto Pago del 0.0000% a 45 dias,45,0.0000,False,False,excluded,Z052
term_52,Z053 - Pronto Pago del 4.0000% a 45 dias,45,4.0000,False,True,excluded,Z053
term_53,Z054 - Pronto Pago del 5.0000% a 45 dias,45,5.0000,False,True,excluded,Z054
term_54,Z055 - Pronto Pago del 6.0000% a 45 dias,45,6.0000,False,True,excluded,Z055
term_55,Z056 - Pronto Pago del 7.0000% a 45 dias,45,7.0000,False,True,excluded,Z056
term_56,Z057 - Pronto Pago del 10.0000% a 45 dias,45,10.0000,False,True,excluded,Z057
term_57,Z058 - Pronto Pago del 4.0000% a 50 dias,50,4.0000,False,True,excluded,Z058
term_58,Z059 - Pronto Pago del 5.0000% a 50 dias,50,5.0000,False,True,excluded,Z059
term_59,Z060 - Pronto Pago del 8.0000% a 50 dias,50,8.0000,False,True,excluded,Z060
term_60,Z061 - Pronto Pago del 0.0000% a 60 dias,60,0.0000,False,False,excluded,Z061
term_61,Z062 - Pronto Pago del 2.0000% a 60 dias,60,2.0000,False,True,excluded,Z062
term_62,Z063 - Pronto Pago del 3.0000% a 60 dias,60,3.0000,False,True,excluded,Z063
term_63,Z064 - Pronto Pago del 4.0000% a 60 dias,60,4.0000,False,True,excluded,Z064
term_64,Z065 - Pronto Pago del 4.5000% a 60 dias,60,4.5000,False,True,excluded,Z065
term_65,Z066 - Pronto Pago del 5.0000% a 60 dias,60,5.0000,False,True,excluded,Z066
term_66,Z067 - Pronto Pago del 7.0000% a 60 dias,60,7.0000,False,True,excluded,Z067
term_67,Z068 - Pronto Pago del 8.0000% a 60 dias,60,8.0000,False,True,excluded,Z068
term_68,Z069 - Pronto Pago del 5.0000% a 70 dias,70,5.0000,False,True,excluded,Z069
term_69,Z070 - Pronto Pago del 8.0000% a 70 dias,70,8.0000,False,True,excluded,Z070
term_70,Z071 - Pronto Pago del 4.0000% a 90 dias,90,4.0000,False,True,excluded,Z071
term_71,Z072 - Pronto Pago del 5.0000% a 90 dias,90,5.0000,False,True,excluded,Z072
term_72,Z073 - Pronto Pago del 8.0000% a 90 dias,90,8.0000,False,True,excluded,Z073
term_73,Z074 - Pronto pago del 10.000% a 10 dias,10,10.0000,False,True,excluded,Z074
term_74,Z075 - Pronto pago del 2.5000% a 30 dias,30,2.5000,False,True,excluded,Z075
term_75,Z076 - Pronto pago del 9.0000% a 10 dias,10,9.0000,False,True,excluded,Z076
term_76,Z077 - Pronto pago del 3.0000% a 15 dias,15,3.0000,False,True,excluded,Z077
term_77,Z078 - Pronto pago del 10.610% a 30 dias,30,10.6100,False,True,excluded,Z078
term_78,Z079 - Pronto pago del 3.0000% a 40 dias,40,3.0000,False,True,excluded,Z079
term_79,Z081 - Pronto pago del 2.0000% a 20 dias,20,2.0000,False,True,excluded,Z081
term_80,Z082 - Pronto pago del 5.0000% a 25 dias ,25,5.0000,False,True,excluded,Z082
term_81,Z083 - Pronto pago del 4.9000% a 60 dias,60,4.9000,False,True,excluded,Z083
term_82,Z084 - Pronto pago del 7.0000% a 90 dias,90,7.0000,False,True,excluded,Z084
term_83,Z085 - Pronto Pago del 0.0000% a 7 dias,7,0.0000,False,False,excluded,Z085
term_84,Z086 - Pronto Pago del 10.6100% a 60 dias,60,10.6100,False,True,excluded,Z086
term_85,Z087 - Pronto Pago del 4.0000% a 21 dias,21,4.0000,False,True,excluded,Z087
term_86,Z088 - Pronto Pago del 0.0000% a 21 dias,21,0.0000,False,False,excluded,Z088
term_87,Z089 - Pronto Pago del 13.0000% a 45 dias,45,13.0000,False,True,excluded,Z089
term_88,Z090 - Pronto Pago del 5.0000% a 120 dias,120,5.0000,False,True,excluded,Z090
term_89,Z091 - Pronto Pago del 0.0000% a 90 dias,90,0.0000,False,False,excluded,Z091
term_90,Z092 - Pronto Pago del 10.0000% a 60 dias,60,10.0000,False,True,excluded,Z092
term_91,Z093 - Pronto Pago del 10.0000% a 15 dias,15,10.0000,False,True,excluded,Z093
term_92,Z094 - Pronto Pago del 0% a 5 dias,5,0.0000,False,False,excluded,Z094
term_93,Z095 - Pronto Pago del 0% a 10 dias,10,0.0000,False,False,excluded,Z095
term_94,Z096 - Pronto Pago del 0% a 20 dias,20,0.0000,False,False,excluded,Z096
term_95,Z097 - Pronto Pago del 4.5% a 45 dias,45,4.5000,False,True,excluded,Z097
term_96,Z098 - Pronto Pago del 0.0000% a 3 dias,3,0.0000,False,False,excluded,Z098
term_97,Z099 - Pronto Pago del 2.0000% a 90 dias,90,2.0000,False,True,excluded,Z099
term_98,Z100 - Pronto Pago del 4.2500% a 14 dias,14,4.2500,False,True,excluded,Z100
term_99,Z101 - Pronto Pago del 4.2500% a 45 dias,45,4.2500,False,True,excluded,Z101
term_100,Z102 - Pronto Pago del 10.6100% a 45 dias,45,10.6100,False,True,excluded,Z102
term_101,Z103 - Pronto Pago del 4.2500% a 40 dias,40,4.2500,False,True,excluded,Z103
term_102,Z104 - Pronto Pago del 4.2500% a 60 dias,60,4.2500,False,True,excluded,Z104
term_103,Z105 - Pronto Pago del 3.0000% a 90 dias,90,3.0000,False,True,excluded,Z105
term_104,Z106 - Pronto Pago del 6.0000% a 50 dias,50,6.0000,False,True,excluded,Z106
term_105,Z107 - Pronto Pago del 6.0000% a 60 dias,60,6.0000,False,True,excluded,Z107
term_106,Z108 - Pronto Pago del 13.0000% a 60 dias,60,13.0000,False,True,excluded,Z108
term_107,Z109 - Pronto Pago del 5.0000% a 65 dias,65,5.0000,False,True,excluded,Z109
term_108,Z110 - Pronto Pago del 4.2500% a 30 dias,30,4.2500,False,True,excluded,Z110
term_109,Z111 - Pronto Pago del 11.5600% a 30 dias,30,11.5600,False,True,excluded,Z111
term_110,Z112 - Pronto Pago del 6.0000% a 35 dias,35,6.0000,False,True,excluded,Z112
term_111,Z113 - Pronto Pago del 6.0000% a 40 dias,40,6.0000,False,True,excluded,Z113
term_112,Z114 - Pronto Pago del 11.5600% a 45 dias,45,11.5600,False,True,excluded,Z114
term_113,Z115 - Pronto Pago del 3.0000% a 50 dias,50,3.0000,False,True,excluded,Z115
term_114,Z116 - Pronto Pago del 0.0000% a 14 dias,14,0.0000,False,False,excluded,Z116
term_115,Z117 - Pronto Pago del 2.0000% a 50 dias,50,2.0000,False,True,excluded,Z117
term_116,Z118 - Pronto Pago del 6.9000% a 60 dias,60,6.9000,False,True,excluded,Z118
term_117,Z119 - Pronto Pago del 6.9000% a 10 dias,10,6.9000,False,True,excluded,Z119
term_118,Z120 - Pronto Pago del 5.0000% a 14 dias,14,5.0000,False,True,excluded,Z120
term_119,Z121 - Pronto Pago del 10.0000% a 14 dias,14,10.0000,False,True,excluded,Z121
term_120,Z122 - Pronto Pago del 2.0000% a 40 dias,40,2.0000,False,True,excluded,Z122
term_121,Z123 - Pronto Pago del 2.0000% a 45 dias,45,2.0000,False,True,excluded,Z123
term_122,Z124 - Pronto Pago del 9.6550% a 45 dias,45,9.6550,False,True,excluded,Z124
term_123,Z125 - Pronto Pago del 7.7530% a 60 dias,60,7.7530,False,True,excluded,Z125
term_124,Z126 - Pronto Pago del 6.000% a 25 dias,25,6.0000,False,True,excluded,Z126
term_125,Z127 - Pronto Pago del 10.0000% a 25 dias,25,10.0000,False,True,excluded,Z127
term_126,Z128 - Pronto Pago del 7.7500% a 70 dias,70,7.7500,False,True,excluded,Z128
term_127,Z129 - Pronto Pago del 5.000% a 55 dias,55,5.0000,False,True,excluded,Z129
term_128,Z130 - Pronto Pago del 3.000% a 7 dias,7,3.0000,False,True,excluded,Z130
term_129,Z131 - Pronto Pago del 4.5000% a 55 dias,55,4.5000,False,True,excluded,Z131
term_130,Z132 - Pronto Pago del 4.25% a 90 dias,90,4.2500,False,True,excluded,Z132
term_131,Z133 - Pronto Pago del 4.25% a 120 dias,120,4.2500,False,True,excluded,Z133
term_132,Z134 - Pronto Pago del 10.61% a 120 dias,120,10.6100,False,True,excluded,Z134
