id,code,name,ref,active,region_id:id,zones_ids:id
dist_1,00001,CARACAS,00001,True,reg_1,
dist_2,00002,ORIENTE-NORTE,00002,True,reg_2,
dist_3,00003,ORIENTE-SUR,00003,True,reg_2,
dist_4,00004,CENTRO-LLANO,00004,True,reg_3,
dist_5,00005,CENTRO-OCCIDENTE,00005,True,reg_4,
dist_6,00006,ANDES,00006,True,reg_5,
dist_7,00007,ZULIA-FALCON,00007,True,reg_6,
dist_8,00008,CORPORATIVO,00008,True,reg_7,
dist_9,00012,DROGUERIA NENA,00012,True,reg_10,
dist_10,00013,CC ORIENTE-NORTE,00013,True,reg_10,
dist_11,00014,CC OCCIDENTE,00014,True,reg_10,
dist_12,00015,CC ZULIA-FALCON,00015,True,reg_10,
dist_13,00016,KX CARACAS ORIENTE,00016,True,reg_10,
dist_14,00017,KX CENTRO OCCIDENTE ANDES,00017,True,reg_10,
dist_15,00018,CC CARACAS-ESTE,00018,True,reg_10,
dist_16,00019,CC CARACAS-OESTE,00019,True,reg_10,
dist_17,00020,CC ORIENTE SUR,00020,True,reg_10,
dist_18,00021,NACIONAL,00021,True,reg_10,
dist_19,00022,LLANOS CENTRALES,00022,True,reg_10,
dist_20,00023,CUENTAS CLAVES,00023,True,reg_10,
